,id,x,y,z,i,j,k,degree,to_remove
10013,142.0,400.0,334.86315612998294,163.2993161855452,80.0,66.9726312259966,5.443310539518174,12.0,False
10014,143.0,440.0,334.86315612998294,163.2993161855452,88.0,66.9726312259966,5.443310539518174,10.0,False
10015,144.0,480.0,334.86315612998294,163.2993161855452,96.0,66.9726312259966,5.443310539518174,8.0,False
10051,145.0,260.0,369.50417228136047,163.2993161855452,52.0,73.9008344562721,5.443310539518174,8.0,False
10052,146.0,300.0,369.50417228136047,163.2993161855452,60.0,73.9008344562721,5.443310539518174,12.0,False
10053,147.0,340.0,369.50417228136047,163.2993161855452,68.0,73.9008344562721,5.443310539518174,10.0,False
10054,148.0,380.0,369.50417228136047,163.2993161855452,76.0,73.9008344562721,5.443310539518174,9.0,False
10055,149.0,420.0,369.50417228136047,163.2993161855452,84.0,73.9008344562721,5.443310539518174,6.0,False
10056,150.0,460.0,369.50417228136047,163.2993161855452,92.0,73.9008344562721,5.443310539518174,2.0,False
10091,151.0,240.0,404.145188432738,163.2993161855452,48.0,80.8290376865476,5.443310539518174,3.0,False
10092,152.0,280.0,404.145188432738,163.2993161855452,56.0,80.8290376865476,5.443310539518174,10.0,False
10093,153.0,320.0,404.145188432738,163.2993161855452,64.0,80.8290376865476,5.443310539518174,9.0,False
10094,154.0,360.0,404.145188432738,163.2993161855452,72.0,80.8290376865476,5.443310539518174,12.0,False
10095,155.0,400.0,404.145188432738,163.2993161855452,80.0,80.8290376865476,5.443310539518174,6.0,False
10135,156.0,340.0,438.7862045841155,163.2993161855452,68.0,87.75724091682311,5.443310539518174,3.0,False
10136,157.0,380.0,438.7862045841155,163.2993161855452,76.0,87.75724091682311,5.443310539518174,4.0,False
11656,158.0,480.0,69.28203230275508,195.95917942265424,96.0,13.856406460551018,6.531972647421808,5.0,False
11657,159.0,520.0,69.28203230275508,195.95917942265424,104.0,13.856406460551018,6.531972647421808,2.0,False
11696,160.0,460.0,103.92304845413263,195.95917942265424,92.0,20.784609690826525,6.531972647421808,3.0,False
11697,161.0,500.0,103.92304845413263,195.95917942265424,100.0,20.784609690826525,6.531972647421808,11.0,False
